time;median ;l_ci;u_ci
-24.000;25.440;13.816;42.145
-23.980;25.457;13.827;42.170
-23.960;25.475;13.838;42.195
-23.940;25.492;13.849;42.220
-23.920;25.509;13.860;42.245
-23.900;25.527;13.872;42.270
-23.880;25.544;13.883;42.295
-23.860;25.561;13.894;42.321
-23.840;25.579;13.905;42.346
-23.820;25.596;13.916;42.371
-23.800;25.614;13.927;42.396
-23.780;25.631;13.939;42.422
-23.760;25.649;13.950;42.447
-23.740;25.666;13.961;42.472
-23.720;25.684;13.972;42.498
-23.700;25.701;13.984;42.523
-23.680;25.719;13.995;42.548
-23.660;25.736;14.006;42.574
-23.640;25.754;14.018;42.599
-23.620;25.772;14.029;42.624
-23.600;25.789;14.040;42.650
-23.580;25.807;14.052;42.675
-23.560;25.825;14.063;42.701
-23.540;25.842;14.075;42.726
-23.520;25.860;14.086;42.752
-23.500;25.878;14.098;42.777
-23.480;25.896;14.109;42.803
-23.460;25.913;14.121;42.828
-23.440;25.931;14.132;42.854
-23.420;25.949;14.144;42.879
-23.400;25.967;14.155;42.905
-23.380;25.985;14.167;42.930
-23.360;26.002;14.178;42.956
-23.340;26.020;14.190;42.982
-23.320;26.038;14.202;43.007
-23.300;26.056;14.213;43.033
-23.280;26.074;14.225;43.059
-23.260;26.092;14.237;43.084
-23.240;26.110;14.248;43.110
-23.220;26.128;14.260;43.136
-23.200;26.146;14.272;43.161
-23.180;26.164;14.284;43.187
-23.160;26.182;14.295;43.213
-23.140;26.200;14.307;43.239
-23.120;26.218;14.319;43.265
-23.100;26.237;14.331;43.290
-23.080;26.255;14.343;43.316
-23.060;26.273;14.354;43.342
-23.040;26.291;14.366;43.368
-23.020;26.309;14.378;43.394
-23.000;26.327;14.390;43.420
-22.980;26.346;14.402;43.446
-22.960;26.364;14.414;43.472
-22.940;26.382;14.426;43.498
-22.920;26.400;14.438;43.524
-22.900;26.419;14.450;43.550
-22.880;26.437;14.462;43.576
-22.860;26.455;14.474;43.602
-22.840;26.474;14.486;43.628
-22.820;26.492;14.498;43.654
-22.800;26.511;14.510;43.680
-22.780;26.529;14.522;43.706
-22.760;26.548;14.535;43.732
-22.740;26.566;14.547;43.758
-22.720;26.585;14.559;43.784
