time;median;l_ci;u_ci
-6.000;58.181;44.609;74.706
-5.980;58.262;44.702;74.762
-5.960;58.343;44.795;74.817
-5.940;58.424;44.889;74.873
-5.920;58.505;44.983;74.929
-5.900;58.586;45.078;74.985
-5.880;58.668;45.172;75.041
-5.860;58.750;45.267;75.097
-5.840;58.832;45.362;75.153
-5.820;58.914;45.458;75.209
-5.800;58.997;45.554;75.266
-5.780;59.079;45.650;75.322
-5.760;59.160;45.746;75.378
-5.740;59.240;45.843;75.435
-5.720;59.321;45.940;75.492
-5.700;59.403;46.037;75.548
-5.680;59.487;46.135;75.605
-5.660;59.571;46.233;75.662
-5.640;59.656;46.331;75.719
-5.620;59.740;46.429;75.776
-5.600;59.825;46.528;75.834
-5.580;59.910;46.627;75.891
-5.560;59.994;46.726;75.948
-5.540;60.078;46.826;76.006
-5.520;60.162;46.923;76.063
-5.500;60.246;47.016;76.121
-5.480;60.328;47.109;76.179
-5.460;60.411;47.203;76.237
-5.440;60.494;47.296;76.295
-5.420;60.579;47.390;76.353
-5.400;60.664;47.484;76.411
-5.380;60.749;47.579;76.469
-5.360;60.836;47.674;76.528
-5.340;60.923;47.769;76.586
-5.320;61.010;47.864;76.645
-5.300;61.097;47.960;76.704
-5.280;61.184;48.056;76.763
-5.260;61.272;48.152;76.821
-5.240;61.360;48.248;76.880
-5.220;61.448;48.345;76.940
-5.200;61.537;48.442;76.999
-5.180;61.626;48.540;77.058
-5.160;61.716;48.637;77.118
-5.140;61.806;48.735;77.177
-5.120;61.896;48.841;77.237
-5.100;61.987;48.948;77.297
-5.080;62.077;49.056;77.357
-5.060;62.168;49.164;77.417
-5.040;62.260;49.272;77.477
-5.020;62.350;49.381;77.537
-5.000;62.440;49.490;77.597
-4.980;62.530;49.600;77.658
-4.960;62.620;49.709;77.718
-4.940;62.711;49.819;77.779
-4.920;62.801;49.925;77.840
-4.900;62.894;50.024;77.901
-4.880;62.988;50.123;77.962
-4.860;63.082;50.222;78.023
-4.840;63.177;50.321;78.084
-4.820;63.271;50.420;78.145
-4.800;63.366;50.520;78.207
-4.780;63.461;50.621;78.268
-4.760;63.556;50.721;78.330
-4.740;63.652;50.822;78.392
-4.720;63.748;50.923;78.454
-4.700;63.845;51.024;78.516
-4.680;63.942;51.126;78.578
-4.660;64.039;51.228;78.641
-4.640;64.137;51.330;78.703
-4.620;64.234;51.433;78.766
-4.600;64.332;51.536;78.828
-4.580;64.429;51.639;78.891
