time;median;l_ci;u_ci
15.554;98.548;95.002;99.733
15.555;98.548;95.001;99.733
15.556;98.547;95.001;99.733
15.557;98.547;95.000;99.733
15.558;98.546;94.999;99.732
15.558;98.546;94.998;99.732
15.559;98.545;94.997;99.732
15.560;98.545;94.996;99.732
15.561;98.544;94.996;99.732
15.562;98.543;94.995;99.732
15.562;98.543;94.994;99.731
15.563;98.542;94.993;99.731
15.564;98.542;94.992;99.731
15.565;98.541;94.992;99.731
15.566;98.541;94.991;99.731
15.567;98.541;94.990;99.731
15.567;98.540;94.989;99.730
15.568;98.540;94.988;99.730
15.569;98.539;94.988;99.730
15.570;98.539;94.987;99.730
15.571;98.539;94.986;99.730
15.572;98.538;94.985;99.730
15.573;98.538;94.985;99.729
15.573;98.538;94.984;99.729
15.574;98.537;94.983;99.729
15.575;98.537;94.982;99.729
15.576;98.537;94.981;99.729
15.577;98.536;94.981;99.729
15.578;98.536;94.980;99.728
15.578;98.536;94.979;99.728
15.579;98.535;94.978;99.728
15.580;98.535;94.978;99.728
15.581;98.535;94.977;99.728
15.582;98.534;94.976;99.728
15.582;98.534;94.975;99.727
15.583;98.533;94.975;99.727
15.584;98.533;94.974;99.727
15.585;98.532;94.973;99.727
15.586;98.532;94.973;99.727
15.587;98.531;94.972;99.727
15.588;98.530;94.971;99.727
15.588;98.530;94.970;99.727
15.589;98.529;94.970;99.727
15.590;98.528;94.969;99.727
15.591;98.528;94.968;99.727
15.592;98.527;94.968;99.727
15.593;98.526;94.967;99.726
15.593;98.526;94.966;99.726
15.594;98.525;94.965;99.726
15.595;98.525;94.965;99.726
15.596;98.524;94.964;99.726
15.597;98.523;94.963;99.726
15.598;98.523;94.963;99.726
15.598;98.522;94.962;99.726
15.599;98.522;94.961;99.726
15.600;98.522;94.961;99.726
15.601;98.521;94.960;99.726
15.602;98.521;94.959;99.726
15.603;98.521;94.959;99.726
15.603;98.520;94.958;99.725
15.604;98.520;94.957;99.725
15.605;98.520;94.957;99.725
15.606;98.519;94.956;99.725
15.607;98.519;94.955;99.725
15.608;98.519;94.955;99.725
15.608;98.518;94.954;99.725
15.609;98.518;94.954;99.725
15.610;98.517;94.953;99.725
15.611;98.517;94.952;99.725
15.612;98.517;94.952;99.725
15.613;98.516;94.951;99.725
15.613;98.516;94.950;99.725
15.614;98.515;94.950;99.724
15.615;98.515;94.949;99.724
15.616;98.514;94.949;99.724
15.617;98.514;94.948;99.724
15.618;98.514;94.947;99.724
15.618;98.513;94.947;99.724
15.619;98.513;94.946;99.724
15.620;98.512;94.946;99.724
15.621;98.512;94.945;99.724
15.622;98.512;94.944;99.724
15.623;98.511;94.944;99.724
15.623;98.511;94.943;99.724
15.624;98.510;94.943;99.724
15.625;98.510;94.942;99.724
15.626;98.510;94.941;99.724
15.627;98.509;94.940;99.723
15.627;98.509;94.939;99.723
15.628;98.508;94.938;99.723
15.629;98.508;94.937;99.723
15.630;98.508;94.936;99.723
15.631;98.507;94.935;99.723
15.632;98.507;94.934;99.723
15.632;98.507;94.933;99.723
15.633;98.506;94.932;99.723
15.634;98.506;94.931;99.723
15.635;98.505;94.930;99.723
15.636;98.505;94.929;99.723
15.637;98.505;94.928;99.723
15.637;98.504;94.927;99.723
15.638;98.504;94.926;99.723
15.639;98.504;94.925;99.722
15.640;98.504;94.924;99.722
15.641;98.503;94.923;99.722
15.642;98.503;94.922;99.722
15.642;98.503;94.921;99.722
15.643;98.503;94.920;99.722
15.644;98.502;94.919;99.722
15.645;98.502;94.918;99.722
15.646;98.502;94.917;99.722
15.647;98.501;94.917;99.721
15.647;98.501;94.916;99.721
15.648;98.501;94.915;99.721
15.649;98.500;94.914;99.721
15.650;98.500;94.913;99.721
15.651;98.500;94.912;99.721
15.652;98.499;94.911;99.721
15.652;98.499;94.910;99.721
15.653;98.499;94.909;99.721
15.654;98.499;94.909;99.721
15.655;98.498;94.908;99.720
15.656;98.498;94.907;99.720
15.657;98.498;94.906;99.720
15.657;98.498;94.905;99.720
15.658;98.497;94.904;99.720
15.659;98.497;94.903;99.720
15.660;98.497;94.903;99.720
15.661;98.497;94.902;99.720
15.662;98.496;94.901;99.720
15.662;98.496;94.900;99.720
15.663;98.496;94.899;99.719
15.664;98.496;94.898;99.719
15.665;98.495;94.898;99.719
15.666;98.495;94.897;99.719
15.667;98.495;94.896;99.719
15.668;98.495;94.895;99.719
15.668;98.494;94.894;99.719
15.669;98.494;94.894;99.719
15.670;98.494;94.893;99.719
15.671;98.494;94.892;99.719
15.672;98.493;94.891;99.719
15.672;98.493;94.890;99.718
15.673;98.493;94.890;99.718
15.674;98.493;94.889;99.718
15.675;98.492;94.888;99.718
15.676;98.492;94.887;99.718
15.677;98.492;94.887;99.718
15.677;98.492;94.886;99.718
15.678;98.491;94.885;99.718
15.679;98.491;94.885;99.718
15.680;98.491;94.884;99.718
15.681;98.490;94.883;99.718
15.682;98.490;94.882;99.717
15.683;98.490;94.882;99.717
15.683;98.490;94.881;99.717
15.684;98.490;94.880;99.717
15.685;98.489;94.880;99.717
15.686;98.489;94.879;99.717
15.687;98.489;94.878;99.717
15.688;98.489;94.878;99.717
15.688;98.489;94.877;99.717
15.689;98.488;94.876;99.717
15.690;98.488;94.876;99.717
15.691;98.488;94.875;99.717
15.692;98.488;94.874;99.716
15.692;98.488;94.874;99.716
15.693;98.488;94.873;99.716
15.694;98.487;94.872;99.716
15.695;98.487;94.872;99.716
15.696;98.487;94.871;99.716
15.697;98.487;94.871;99.716
15.698;98.487;94.871;99.716
15.698;98.487;94.870;99.716
15.699;98.486;94.870;99.716
15.700;98.486;94.870;99.716
15.701;98.486;94.870;99.716
15.702;98.486;94.870;99.716
15.703;98.486;94.870;99.716
15.703;98.486;94.870;99.715
15.704;98.485;94.870;99.715
15.705;98.485;94.870;99.715
15.706;98.485;94.871;99.715
15.707;98.485;94.871;99.715
15.707;98.484;94.871;99.715
15.708;98.484;94.871;99.715
15.709;98.484;94.871;99.715
15.710;98.484;94.871;99.715
15.711;98.483;94.871;99.715
15.712;98.483;94.871;99.715
15.713;98.483;94.871;99.715
15.713;98.482;94.871;99.715
15.714;98.482;94.871;99.715
15.715;98.482;94.871;99.715
15.716;98.482;94.872;99.714
15.717;98.481;94.872;99.714
15.718;98.481;94.872;99.714
15.718;98.481;94.872;99.714
15.719;98.481;94.872;99.714
15.720;98.481;94.872;99.714
15.721;98.481;94.872;99.714
15.722;98.481;94.873;99.714
15.723;98.481;94.873;99.714
15.723;98.481;94.873;99.714
15.724;98.481;94.873;99.714
15.725;98.481;94.873;99.714
15.726;98.481;94.874;99.714
15.727;98.481;94.874;99.714
15.728;98.481;94.874;99.714
15.728;98.481;94.874;99.714
15.729;98.481;94.875;99.714
15.730;98.481;94.875;99.713
15.731;98.480;94.875;99.713
15.732;98.480;94.875;99.713
15.733;98.480;94.876;99.713
15.733;98.480;94.876;99.713
15.734;98.480;94.876;99.713
15.735;98.480;94.876;99.713
15.736;98.480;94.877;99.713
15.737;98.479;94.877;99.713
15.738;98.479;94.877;99.713
15.738;98.479;94.878;99.713
15.739;98.479;94.878;99.713
15.740;98.479;94.878;99.713
15.741;98.479;94.879;99.713
15.742;98.479;94.879;99.713
15.743;98.479;94.879;99.713
15.743;98.479;94.880;99.713
15.744;98.478;94.881;99.713
15.745;98.478;94.882;99.713
15.746;98.478;94.882;99.713
15.747;98.478;94.883;99.713
15.748;98.478;94.884;99.713
15.748;98.478;94.885;99.712
15.749;98.478;94.885;99.712
15.750;98.478;94.886;99.712
15.751;98.478;94.887;99.712
15.752;98.478;94.888;99.712
15.752;98.478;94.889;99.712
15.753;98.478;94.890;99.712
15.754;98.478;94.891;99.712
15.755;98.478;94.891;99.712
15.756;98.478;94.892;99.712
15.757;98.478;94.893;99.712
15.757;98.478;94.894;99.712
15.758;98.478;94.895;99.712
15.759;98.478;94.896;99.712
15.760;98.478;94.897;99.712
15.761;98.478;94.898;99.712
15.762;98.478;94.899;99.712
15.762;98.478;94.900;99.712
15.763;98.478;94.901;99.712
15.764;98.478;94.902;99.712
15.765;98.478;94.903;99.712
15.766;98.478;94.904;99.712
15.767;98.478;94.905;99.712
15.767;98.478;94.907;99.712
15.768;98.478;94.908;99.712
15.769;98.478;94.909;99.712
15.770;98.478;94.910;99.712
15.771;98.478;94.911;99.712
15.772;98.478;94.912;99.712
15.772;98.478;94.913;99.712
15.773;98.479;94.915;99.712
15.774;98.479;94.916;99.712
15.775;98.479;94.917;99.712
15.776;98.479;94.918;99.712
15.777;98.479;94.919;99.712
15.777;98.479;94.919;99.712
15.778;98.479;94.920;99.712
15.779;98.479;94.920;99.712
15.780;98.480;94.921;99.712
15.781;98.480;94.921;99.712
15.782;98.480;94.921;99.712
15.782;98.480;94.922;99.712
15.783;98.480;94.922;99.712
15.784;98.480;94.923;99.712
15.785;98.480;94.923;99.712
15.786;98.480;94.924;99.712
15.787;98.480;94.924;99.712
15.787;98.481;94.925;99.712
15.788;98.481;94.925;99.712
15.789;98.481;94.926;99.712
15.790;98.481;94.926;99.712
15.791;98.481;94.927;99.712
15.792;98.482;94.928;99.712
15.793;98.482;94.928;99.712
15.793;98.482;94.929;99.712
15.794;98.482;94.929;99.712
15.795;98.482;94.930;99.712
15.796;98.483;94.930;99.712
15.797;98.483;94.931;99.712
15.797;98.483;94.932;99.712
15.798;98.483;94.932;99.712
15.799;98.484;94.933;99.712
15.800;98.484;94.933;99.712
15.801;98.484;94.934;99.712
15.802;98.484;94.935;99.712
15.802;98.485;94.935;99.712
15.803;98.485;94.936;99.712
15.804;98.485;94.937;99.712
15.805;98.486;94.937;99.712
15.806;98.486;94.938;99.712
15.807;98.486;94.939;99.712
15.808;98.487;94.940;99.712
15.808;98.487;94.940;99.712
15.809;98.488;94.941;99.712
15.810;98.488;94.942;99.712
15.811;98.489;94.942;99.712
15.812;98.489;94.943;99.712
15.812;98.490;94.944;99.712
15.813;98.490;94.945;99.712
15.814;98.491;94.945;99.712
15.815;98.491;94.946;99.713
15.816;98.492;94.947;99.713
15.817;98.492;94.948;99.713
15.817;98.493;94.949;99.713
15.818;98.493;94.949;99.713
15.819;98.494;94.950;99.713
15.820;98.494;94.951;99.713
15.821;98.494;94.952;99.713
15.822;98.494;94.953;99.713
15.823;98.495;94.954;99.713
15.823;98.495;94.955;99.713
15.824;98.495;94.955;99.713
15.825;98.496;94.956;99.714
15.826;98.496;94.957;99.714
15.827;98.496;94.958;99.714
15.828;98.497;94.959;99.714
15.828;98.497;94.960;99.714
15.829;98.497;94.961;99.714
15.830;98.498;94.962;99.714
15.831;98.498;94.963;99.714
15.832;98.498;94.965;99.714
15.832;98.499;94.966;99.714
15.833;98.499;94.967;99.714
15.834;98.499;94.969;99.715
15.835;98.500;94.970;99.715
15.836;98.500;94.971;99.715
15.837;98.501;94.973;99.715
15.838;98.501;94.974;99.715
15.838;98.502;94.975;99.715
15.839;98.502;94.977;99.715
15.840;98.503;94.978;99.715
15.841;98.503;94.980;99.715
15.842;98.504;94.981;99.715
15.843;98.504;94.982;99.716
15.843;98.505;94.984;99.716
15.844;98.505;94.985;99.716
15.845;98.506;94.987;99.716
15.846;98.507;94.988;99.716
15.847;98.507;94.990;99.716
15.848;98.508;94.991;99.716
15.848;98.509;94.993;99.716
15.849;98.510;94.994;99.717
15.850;98.510;94.996;99.717
15.851;98.511;94.997;99.717
15.852;98.512;94.999;99.717
15.853;98.513;95.000;99.717
15.853;98.513;95.002;99.717
15.854;98.514;95.004;99.717
15.855;98.514;95.005;99.717
15.856;98.515;95.007;99.718
15.857;98.516;95.008;99.718
15.858;98.517;95.010;99.718
15.858;98.518;95.012;99.718
15.859;98.518;95.013;99.718
15.860;98.519;95.015;99.718
15.861;98.520;95.017;99.718
15.862;98.521;95.018;99.719
15.863;98.522;95.020;99.719
15.863;98.523;95.022;99.719
15.864;98.524;95.023;99.719
15.865;98.525;95.025;99.719
15.866;98.526;95.027;99.719
15.867;98.527;95.029;99.719
15.868;98.527;95.030;99.720
15.868;98.528;95.032;99.720
15.869;98.529;95.034;99.720
15.870;98.530;95.036;99.720
15.871;98.531;95.038;99.720
15.872;98.532;95.039;99.720
15.873;98.533;95.041;99.720
15.873;98.533;95.043;99.721
15.874;98.534;95.045;99.721
15.875;98.535;95.047;99.721
15.876;98.535;95.049;99.721
15.877;98.536;95.051;99.721
15.877;98.536;95.052;99.721
15.878;98.537;95.054;99.722
15.879;98.538;95.056;99.722
15.880;98.538;95.058;99.722
15.881;98.539;95.060;99.722
15.882;98.540;95.062;99.722
15.882;98.540;95.064;99.722
15.883;98.541;95.066;99.723
15.884;98.542;95.068;99.723
15.885;98.543;95.070;99.723
15.886;98.544;95.072;99.723
15.887;98.545;95.074;99.723
15.887;98.546;95.076;99.723
15.888;98.548;95.079;99.724
15.889;98.549;95.081;99.724
15.890;98.550;95.083;99.724
15.891;98.551;95.085;99.724
15.892;98.552;95.087;99.724
15.892;98.553;95.089;99.725
15.893;98.554;95.091;99.725
15.894;98.556;95.093;99.725
15.895;98.557;95.096;99.725
15.896;98.559;95.098;99.725
15.897;98.560;95.100;99.726
15.897;98.562;95.102;99.726
15.898;98.563;95.105;99.726
15.899;98.565;95.107;99.726
15.900;98.566;95.109;99.726
15.901;98.568;95.111;99.727
15.902;98.569;95.114;99.727
15.902;98.570;95.116;99.727
15.903;98.571;95.118;99.727
15.904;98.572;95.121;99.727
15.905;98.573;95.123;99.728
15.906;98.574;95.125;99.728
15.907;98.575;95.128;99.728
15.907;98.576;95.130;99.728
15.908;98.576;95.132;99.728
15.909;98.578;95.135;99.729
15.910;98.579;95.137;99.729
15.911;98.580;95.140;99.729
15.912;98.582;95.142;99.729
15.912;98.583;95.145;99.730
15.913;98.584;95.147;99.730
15.914;98.585;95.150;99.730
15.915;98.586;95.152;99.730
15.916;98.587;95.155;99.730
15.917;98.588;95.157;99.731
15.918;98.589;95.160;99.731
15.918;98.590;95.162;99.731
15.919;98.592;95.165;99.731
15.920;98.593;95.168;99.731
15.921;98.594;95.170;99.731
15.922;98.595;95.173;99.731
15.922;98.596;95.176;99.732
15.923;98.597;95.178;99.732
15.924;98.598;95.181;99.732
15.925;98.600;95.184;99.732
15.926;98.601;95.186;99.732
15.927;98.603;95.189;99.732
15.927;98.604;95.192;99.732
15.928;98.605;95.195;99.733
15.929;98.606;95.197;99.733
15.930;98.608;95.200;99.733
15.931;98.609;95.203;99.733
15.932;98.611;95.206;99.733
15.933;98.613;95.209;99.733
15.933;98.614;95.211;99.734
15.934;98.615;95.214;99.734
15.935;98.617;95.217;99.734
15.936;98.618;95.220;99.734
15.937;98.619;95.223;99.735
15.938;98.620;95.226;99.735
15.938;98.622;95.229;99.735
15.939;98.623;95.232;99.736
15.940;98.624;95.235;99.736
15.941;98.626;95.238;99.736
15.942;98.627;95.241;99.736
15.942;98.629;95.244;99.737
15.943;98.631;95.247;99.737
15.944;98.632;95.251;99.737
15.945;98.633;95.254;99.738
15.946;98.635;95.257;99.738
15.947;98.636;95.260;99.738
15.948;98.637;95.263;99.739
15.948;98.639;95.267;99.739
15.949;98.640;95.270;99.739
15.950;98.641;95.273;99.740
15.951;98.642;95.276;99.740
15.952;98.644;95.280;99.740
15.953;98.646;95.283;99.741
15.953;98.649;95.286;99.741
15.954;98.651;95.293;99.741
15.955;98.654;95.299;99.742
15.956;98.655;95.305;99.742
15.957;98.656;95.311;99.742
15.957;98.658;95.318;99.743
15.958;98.659;95.324;99.743
15.959;98.660;95.331;99.744
15.960;98.661;95.337;99.744
15.961;98.662;95.344;99.744
15.962;98.664;95.350;99.744
15.963;98.667;95.357;99.745
15.963;98.670;95.363;99.745
15.964;98.674;95.370;99.745
15.965;98.677;95.377;99.745
15.966;98.678;95.383;99.745
15.967;98.680;95.390;99.746
15.968;98.682;95.397;99.746
15.968;98.683;95.404;99.746
15.969;98.684;95.411;99.746
15.970;98.685;95.418;99.747
15.971;98.686;95.425;99.747
15.972;98.687;95.432;99.747
15.973;98.690;95.439;99.747
15.973;98.692;95.446;99.748
15.974;98.693;95.453;99.748
15.975;98.694;95.460;99.748
15.976;98.696;95.467;99.748
15.977;98.697;95.474;99.748
15.978;98.699;95.481;99.749
15.978;98.700;95.489;99.749
15.979;98.701;95.496;99.749
15.980;98.703;95.503;99.749
15.981;98.705;95.511;99.750
15.982;98.708;95.518;99.750
15.983;98.712;95.526;99.750
15.983;98.714;95.533;99.750
15.984;98.717;95.541;99.751
15.985;98.719;95.549;99.751
15.986;98.721;95.556;99.751
15.987;98.723;95.564;99.752
15.988;98.724;95.570;99.752
15.988;98.726;95.573;99.752
15.989;98.727;95.576;99.752
15.990;98.729;95.580;99.753
15.991;98.731;95.583;99.753
15.992;98.732;95.587;99.753
15.993;98.734;95.591;99.753
15.993;98.736;95.594;99.754
15.994;98.737;95.598;99.754
15.995;98.739;95.601;99.754
15.996;98.741;95.605;99.754
15.997;98.743;95.609;99.755
15.998;98.744;95.612;99.755
15.998;98.746;95.616;99.755
15.999;98.748;95.620;99.756
16.000;98.751;95.623;99.756
16.001;98.754;95.627;99.756
16.002;98.757;95.629;99.756
16.002;98.759;95.631;99.757
16.003;98.760;95.633;99.757
16.004;98.762;95.635;99.757
16.005;98.763;95.637;99.758
16.006;98.764;95.638;99.758
16.007;98.766;95.640;99.758
16.007;98.768;95.642;99.758
16.008;98.770;95.644;99.759
16.009;98.772;95.649;99.759
16.010;98.774;95.661;99.760
16.011;98.775;95.672;99.760
16.012;98.777;95.676;99.760
16.012;98.779;95.679;99.761
16.013;98.780;95.682;99.761
16.014;98.782;95.685;99.761
16.015;98.784;95.688;99.762
16.016;98.785;95.691;99.762
16.017;98.787;95.694;99.762
16.017;98.788;95.697;99.762
16.018;98.790;95.700;99.763
16.019;98.792;95.703;99.763
16.020;98.793;95.706;99.763
16.021;98.795;95.709;99.763
16.022;98.796;95.711;99.764
16.022;98.797;95.714;99.764
16.023;98.799;95.717;99.764
16.024;98.800;95.719;99.764
16.025;98.801;95.722;99.764
16.026;98.802;95.725;99.764
16.027;98.803;95.727;99.765
16.027;98.804;95.729;99.765
16.028;98.805;95.732;99.765
16.029;98.807;95.734;99.765
16.030;98.808;95.736;99.765
16.031;98.809;95.739;99.765
16.032;98.810;95.741;99.765
16.032;98.811;95.743;99.765
16.033;98.811;95.745;99.766
16.034;98.812;95.747;99.766
16.035;98.812;95.749;99.766
16.036;98.812;95.751;99.766
16.037;98.812;95.754;99.766
16.037;98.813;95.756;99.766
16.038;98.813;95.758;99.766
16.039;98.814;95.759;99.766
16.040;98.814;95.761;99.766
16.041;98.815;95.763;99.766
16.042;98.816;95.765;99.766
16.043;98.816;95.767;99.766
16.043;98.816;95.769;99.766
16.044;98.816;95.770;99.766
16.045;98.817;95.772;99.766
16.046;98.817;95.774;99.766
16.047;98.818;95.775;99.766
16.047;98.818;95.777;99.766
16.048;98.819;95.778;99.766
16.049;98.819;95.780;99.766
16.050;98.819;95.781;99.766
16.051;98.820;95.783;99.766
16.052;98.820;95.784;99.766
16.052;98.821;95.785;99.766
16.053;98.821;95.787;99.766
16.054;98.821;95.788;99.766
16.055;98.822;95.789;99.766
16.056;98.822;95.791;99.766
16.057;98.822;95.792;99.766
16.058;98.822;95.793;99.766
16.058;98.823;95.794;99.766
16.059;98.823;95.795;99.766
16.060;98.823;95.796;99.766
16.061;98.823;95.798;99.766
16.062;98.824;95.799;99.766
16.062;98.824;95.800;99.766
16.063;98.824;95.801;99.766
16.064;98.824;95.802;99.766
16.065;98.824;95.802;99.766
16.066;98.824;95.803;99.766
16.067;98.824;95.804;99.766
16.067;98.824;95.805;99.766
16.068;98.824;95.806;99.766
16.069;98.824;95.807;99.765
16.070;98.824;95.808;99.765
16.071;98.824;95.808;99.765
16.072;98.823;95.809;99.765
16.073;98.823;95.810;99.765
16.073;98.823;95.810;99.765
16.074;98.823;95.811;99.765
16.075;98.823;95.812;99.765
16.076;98.822;95.812;99.765
16.077;98.822;95.813;99.765
16.078;98.822;95.813;99.765
16.078;98.821;95.814;99.765
16.079;98.821;95.814;99.765
16.080;98.820;95.815;99.764
16.081;98.820;95.815;99.764
16.082;98.819;95.816;99.764
16.082;98.819;95.816;99.764
16.083;98.819;95.817;99.764
16.084;98.818;95.817;99.764
16.085;98.818;95.817;99.764
16.086;98.817;95.818;99.764
16.087;98.817;95.818;99.764
16.088;98.817;95.818;99.764
16.088;98.817;95.819;99.764
16.089;98.816;95.819;99.763
16.090;98.816;95.819;99.763
16.091;98.816;95.819;99.763
16.092;98.816;95.820;99.763
16.093;98.816;95.820;99.763
16.093;98.816;95.821;99.763
16.094;98.816;95.821;99.763
16.095;98.816;95.822;99.763
16.096;98.816;95.823;99.763
16.097;98.817;95.823;99.763
16.098;98.817;95.824;99.762
16.098;98.817;95.824;99.762
16.099;98.817;95.825;99.762
16.100;98.817;95.826;99.762
16.101;98.817;95.826;99.762
16.102;98.817;95.827;99.762
16.103;98.817;95.827;99.762
16.103;98.817;95.827;99.762
16.104;98.817;95.828;99.762
16.105;98.816;95.828;99.761
16.106;98.816;95.829;99.761
16.107;98.816;95.829;99.761
16.108;98.816;95.829;99.761
16.108;98.815;95.829;99.761
16.109;98.815;95.830;99.761
16.110;98.815;95.830;99.761
16.111;98.814;95.830;99.761
16.112;98.814;95.830;99.760
16.113;98.814;95.830;99.760
16.113;98.813;95.831;99.760
16.114;98.813;95.831;99.760
16.115;98.813;95.831;99.760
16.116;98.812;95.831;99.760
16.117;98.812;95.831;99.760
16.118;98.812;95.831;99.759
16.118;98.811;95.831;99.759
16.119;98.811;95.831;99.759
16.120;98.811;95.831;99.759
16.121;98.810;95.831;99.759
16.122;98.810;95.831;99.759
16.123;98.810;95.831;99.759
16.123;98.809;95.830;99.759
16.124;98.809;95.830;99.758
16.125;98.808;95.830;99.758
16.126;98.808;95.830;99.758
16.127;98.807;95.830;99.758
16.127;98.806;95.829;99.758
16.128;98.806;95.829;99.758
16.129;98.805;95.829;99.758
16.130;98.805;95.829;99.757
16.131;98.804;95.828;99.757
16.132;98.804;95.828;99.757
16.132;98.803;95.828;99.757
16.133;98.803;95.827;99.757
16.134;98.802;95.827;99.757
16.135;98.802;95.826;99.757
16.136;98.801;95.826;99.756
16.137;98.801;95.824;99.756
16.137;98.800;95.822;99.756
16.138;98.800;95.820;99.756
16.139;98.799;95.817;99.756
16.140;98.799;95.815;99.756
16.141;98.798;95.813;99.756
16.142;98.798;95.811;99.755
16.142;98.797;95.808;99.755
16.143;98.797;95.806;99.755
16.144;98.796;95.804;99.755
16.145;98.796;95.802;99.755
16.146;98.795;95.799;99.755
16.147;98.795;95.798;99.754
16.147;98.794;95.797;99.754
16.148;98.794;95.796;99.754
16.149;98.793;95.796;99.754
16.150;98.793;95.795;99.754
16.151;98.793;95.794;99.754
16.152;98.792;95.793;99.754
16.152;98.792;95.792;99.753
16.153;98.791;95.791;99.753
16.154;98.791;95.790;99.753
16.155;98.791;95.790;99.753
16.156;98.790;95.789;99.753
16.157;98.790;95.788;99.753
16.157;98.789;95.787;99.753
16.158;98.789;95.786;99.752
16.159;98.788;95.785;99.752
16.160;98.788;95.784;99.752
16.161;98.788;95.783;99.752
16.162;98.787;95.783;99.752
16.162;98.787;95.782;99.752
16.163;98.786;95.781;99.752
16.164;98.786;95.780;99.751
16.165;98.785;95.779;99.751
16.166;98.785;95.778;99.751
16.167;98.784;95.777;99.751
16.168;98.783;95.776;99.751
16.168;98.783;95.775;99.751
16.169;98.782;95.774;99.751
16.170;98.782;95.773;99.751
16.171;98.782;95.772;99.750
16.172;98.781;95.771;99.750
16.172;98.781;95.770;99.750
16.173;98.780;95.769;99.750
16.174;98.780;95.768;99.750
16.175;98.779;95.767;99.750
16.176;98.779;95.766;99.750
16.177;98.778;95.765;99.749
16.177;98.778;95.764;99.749
16.178;98.777;95.763;99.749
16.179;98.776;95.762;99.749
16.180;98.775;95.761;99.749
16.181;98.774;95.760;99.749
16.182;98.774;95.760;99.749
16.183;98.773;95.760;99.748
16.183;98.772;95.760;99.748
16.184;98.772;95.760;99.748
16.185;98.771;95.759;99.748
16.186;98.771;95.759;99.748
16.187;98.770;95.759;99.748
16.188;98.769;95.759;99.748
16.188;98.769;95.759;99.747
16.189;98.768;95.758;99.747
16.190;98.768;95.758;99.747
16.191;98.767;95.758;99.747
16.192;98.767;95.758;99.747
16.192;98.766;95.758;99.747
16.193;98.766;95.757;99.746
16.194;98.765;95.757;99.746
16.195;98.765;95.756;99.746
16.196;98.764;95.755;99.746
16.197;98.764;95.753;99.746
16.198;98.763;95.752;99.746
16.198;98.763;95.750;99.746
16.199;98.762;95.749;99.745
16.200;98.762;95.747;99.745
16.201;98.761;95.746;99.745
16.202;98.761;95.744;99.745
16.203;98.760;95.743;99.745
16.203;98.759;95.741;99.745
16.204;98.759;95.740;99.744
16.205;98.758;95.738;99.744
16.206;98.757;95.736;99.744
16.207;98.757;95.735;99.744
16.207;98.756;95.733;99.744
16.208;98.756;95.732;99.744
16.209;98.755;95.730;99.743
16.210;98.754;95.728;99.743
16.211;98.754;95.727;99.743
16.212;98.753;95.725;99.743
16.213;98.752;95.723;99.743
16.213;98.752;95.722;99.743
16.214;98.751;95.720;99.743
16.215;98.750;95.718;99.742
16.216;98.750;95.717;99.742
16.217;98.749;95.715;99.742
16.218;98.748;95.713;99.742
16.218;98.747;95.711;99.742
16.219;98.746;95.710;99.742
16.220;98.746;95.708;99.741
16.221;98.745;95.706;99.741
16.222;98.744;95.704;99.741
16.223;98.743;95.703;99.741
16.223;98.742;95.701;99.741
16.224;98.742;95.699;99.741
16.225;98.741;95.697;99.740
16.226;98.740;95.695;99.740
16.227;98.740;95.694;99.740
