time;median;l_ci;u_ci
15.500;98.585;95.109;99.745
15.501;98.584;95.107;99.745
15.502;98.584;95.105;99.745
15.502;98.583;95.103;99.744
15.503;98.582;95.101;99.744
15.504;98.582;95.099;99.744
15.505;98.581;95.097;99.744
15.506;98.580;95.096;99.744
15.507;98.580;95.094;99.743
15.507;98.579;95.092;99.743
15.508;98.578;95.090;99.743
15.509;98.578;95.088;99.743
15.510;98.577;95.086;99.743
15.511;98.576;95.084;99.742
15.512;98.576;95.082;99.742
15.512;98.575;95.080;99.742
15.513;98.574;95.079;99.742
15.514;98.574;95.077;99.742
15.515;98.573;95.075;99.742
15.516;98.573;95.073;99.741
15.517;98.572;95.071;99.741
15.517;98.571;95.069;99.741
15.518;98.571;95.068;99.741
15.519;98.570;95.066;99.741
15.520;98.569;95.064;99.740
15.521;98.569;95.062;99.740
15.522;98.568;95.060;99.740
15.522;98.568;95.059;99.740
15.523;98.567;95.057;99.740
15.524;98.566;95.055;99.740
15.525;98.566;95.053;99.739
15.526;98.565;95.051;99.739
15.527;98.565;95.050;99.739
15.527;98.564;95.048;99.739
15.528;98.563;95.046;99.739
15.529;98.563;95.044;99.738
15.530;98.562;95.043;99.738
15.531;98.562;95.041;99.738
15.532;98.561;95.039;99.738
15.532;98.561;95.038;99.738
15.533;98.560;95.036;99.738
15.534;98.559;95.034;99.737
15.535;98.559;95.033;99.737
15.536;98.558;95.031;99.737
15.537;98.558;95.029;99.737
15.537;98.557;95.028;99.737
15.538;98.557;95.026;99.736
15.539;98.556;95.024;99.736
15.540;98.556;95.023;99.736
15.541;98.555;95.021;99.736
15.542;98.555;95.019;99.736
15.543;98.554;95.018;99.736
15.543;98.554;95.016;99.735
15.544;98.553;95.014;99.735
15.545;98.553;95.013;99.735
15.546;98.552;95.011;99.735
15.547;98.552;95.010;99.735
15.547;98.552;95.009;99.734
15.548;98.551;95.008;99.734
15.549;98.551;95.007;99.734
15.550;98.550;95.006;99.734
15.551;98.550;95.006;99.734
15.552;98.550;95.005;99.734
15.552;98.549;95.004;99.733
15.553;98.549;95.003;99.733
