trial,ci_lower,mean,ci_upper
IPERGAY,0.0,9.439865496898108,28.30341597846024
IPERGAY_placebo,3.225489652534283,6.277261002150924,9.858093652263946
iPrEx,2.257166594469008,3.998443544933291,6.108326185545673
iPrEx_placebo,3.015410705615319,3.954921733574976,4.956950016205273
HPTN083,4.502648544334919,7.758266022762777,11.654894323232586
PURPOSEII,0.5951451111715015,3.999223040279335,8.869759739673553
DISCOVER,1.941798169443852,6.246580029180668,11.990193852515612
